TC ID,Module,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority
CFTP_RIGHTCLICK_TC_009,Right-Click Context Menu,Verify pasting a cut file into a different folder by right click on page (move),CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded the file by HTTPS in browser; A destination folder exists at the Home root,"1. Right click on the uploaded file and select ""Cut""
2. Double click on the destination folder to open it
3. Right click on the page and select ""Paste""",N/A,"1. ""Option list"" appears
3. ""Paste"" is enabled and the file appears in the destination folder; the original file no longer exists in the source folder",High
CFTP_FOLDER_TC_001,Folder List Actions,Verify that the folder can be opened,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded/create the folder by HTTPS in browser,"1. Right Click to the folder and select ""Open"" option",N/A,1. Navigate to content of the folder to show its subfolder(s) and file(s),High
CFTP_FOLDER_TC_002,Folder List Actions,Verify that the folder can be download as ZIP,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded/create the folder by HTTPS in browser,"1. Right click/Double click to the folder and select ""Download as ZIP"" option",N/A,1. The folder will be downloaded as ZIP file,High
CFTP_FOLDER_TC_003,Folder List Actions,Verify renaming the folder,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded/create the folder by HTTPS in browser,"1. Right click to the folder and select ""Rename"" option
2. Enter the new name for folder
3. Click on RENAME button",New name: RenamedFolder_20260707,"1. ""Rename"" form appears with the editable name
3. New name of folder is saved and close the form",High
CFTP_FOLDER_TC_004,Folder List Actions,Verify cancel renaming the folder,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded/create the folder by HTTPS in browser,"1. Right click to the folder and select ""Rename"" option
2. Enter the new name for folder
3. Click on CANCEL button",New name: RenamedFolder_20260707,"1. ""Rename"" form appears with the editable name
3. New name of folder is NOT saved and close the form",Medium
CFTP_FOLDER_TC_005,Folder List Actions,Verify moving the folder to another same level folder,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded/create the folder by HTTPS in browser,"1. Right click to the folder and select ""Move"" option
2. Click on Change button to select the new path for file
3. Select the new folder by click on the SELECT button in the same line of the selected folder
4. Click on MOVE button",N/A,"1. ""Move"" form appears with the editable name
2. ""Select the destination folder"" form appears with new folder path for selecting
3. New path is saved in Destination
4. The file is moved to new folder",High
CFTP_FOLDER_TC_006,Folder List Actions,Verify moving the folder to the subfolder of another folder,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded/create the folder by HTTPS in browser,"1. Right click to the folder and select ""Move"" option
2. Click on Change button to select the new path for file
3. Click on the folder to show its subfolder, select the new folder by click on the SELECT button in the same line of the selected folder
4. Click on MOVE button",N/A,"1. ""Move"" form appears with the editable name
2. ""Select the destination folder"" form appears with new folder path for selecting
3. New path is saved in Destination
4. The file is moved to new subfolder",High
CFTP_FOLDER_TC_007,Folder List Actions,Verify canceling moving the folder,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded/create the folder by HTTPS in browser,"1. Right click to the folder and select ""Move"" option
2. Click on Change button to select the new path for file
3. Select the new folder by click on the SELECT button in the same line of the selected folder
4. Click on CANCEL button",N/A,"1. ""Move"" form appears with the editable name
2. ""Select the destination folder"" form appears with new folder path for selecting
3. New path is saved in Destination
4. The form closes and the file is not moved to the new path",Medium
CFTP_FOLDER_TC_008,Folder List Actions,Verify delete the folder,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded/create the folder by HTTPS in browser,"1. Right click to the folder and select ""Delete"" option
2. Click on DELETE button",N/A,"1. ""Confirm"" form appears with confirm message: ""Are you sure to delete FileName?""
2. The folder is deleted",Critical
CFTP_FOLDER_TC_009,Folder List Actions,Verify canceling delete the folder,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded/create the folder by HTTPS in browser,"1. Right click to the folder and select ""Delete"" option
2. Click on CANCEL button",N/A,"1. ""Confirm"" form appears with confirm message: ""Are you sure to delete FileName?""
2. The folder is not deleted",Medium
CFTP_MULTISELECT_TC_001,Multi-Select Actions,Verify downloading multiple selected files,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded/create the files by HTTPS in browser,"1. Select multiple files, right click on them
2. Select Download",N/A,"1. Option shows: Download, Move, Copy, Share (public), Share (password) and Delete
2. These selected files are downloaded",High
CFTP_MULTISELECT_TC_002,Multi-Select Actions,Verify moving multiple selected files to a folder,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded/create the folder by HTTPS in browser,"1. Select multiple files, right click on them
2. Select Move
3. Click on Change button then select a folder as destination then click on MOVE button",N/A,"1. Option shows: Download, Move, Copy, Share (public), Share (password) and Delete
2. ""Move"" form appears
3. These selected files will be moved to the destination folder",High
CFTP_MULTISELECT_TC_003,Multi-Select Actions,Verify canceling moving multiple selected files to a folder,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded/create the folder by HTTPS in browser,"1. Select multiple files, right click on them
2. Select Move
3. Click on Change button then select a folder as destination then click on CANCEL button",N/A,"1. Option shows: Download, Move, Copy, Share (public), Share (password) and Delete
2. ""Move"" form appears
3. ""Move"" form closes",Medium
CFTP_MULTISELECT_TC_004,Multi-Select Actions,Verify copying multiple selected files to a folder,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded/create the folder by HTTPS in browser,"1. Select multiple files, right click on them
2. Select Copy
3. Click on Change button then select a folder as destination then click on COPY button",N/A,"1. Option shows: Download, Move, Copy, Share (public), Share (password) and Delete
2. ""Copy file"" form appears
3. These selected files will be copied to the destination folder",High
CFTP_MULTISELECT_TC_005,Multi-Select Actions,Verify canceling copying multiple selected files to a folder,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded/create the folder by HTTPS in browser,"1. Select multiple files, right click on them
2. Select Copy
3. Click on Change button then select a folder as destination then click on CANCEL button",N/A,"1. Option shows: Download, Move, Copy, Share (public), Share (password) and Delete
2. ""Copy file"" form appears
3. ""Copy file"" form closes",Medium
CFTP_MULTISELECT_TC_006,Multi-Select Actions,Verify Share (public) for multiple selected files,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded/create the folder by HTTPS in browser,"1. Select multiple files, right click on them
2. Select Share (public)
3. Click on OK button",N/A,"1. Option shows: Download, Move, Copy, Share (public), Share (password) and Delete
2. ""Share"" form appears
3. ""Share"" form closes and these files are shared to Shares folder",High
CFTP_MULTISELECT_TC_007,Multi-Select Actions,Verify canceling Share (public) for multiple selected files,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded/create the folder by HTTPS in browser,"1. Select multiple files, right click on them
2. Select Share (public)
3. Click on CANCEL button",N/A,"1. Option shows: Download, Move, Copy, Share (public), Share (password) and Delete
2. ""Share"" form appears
3. ""Share"" form closes",Medium
CFTP_MULTISELECT_TC_008,Multi-Select Actions,Verify Share (password) for multiple selected files,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded/create the folder by HTTPS in browser,"1. Select multiple files, right click on them
2. Select Share (password)
3. Enter valid password, click on SHARE button
4. Click on OK button",N/A,"1. Option shows: Download, Move, Copy, Share (public), Share (password) and Delete
2. ""Share (password)"" form appears
3. ""Share"" form appears
4. ""Share"" form closes and these files are shared to Shares folder",Critical
CFTP_MULTISELECT_TC_009,Multi-Select Actions,Verify canceling Share (password) for multiple selected files,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded/create the folder by HTTPS in browser,"1. Select multiple files, right click on them
2. Select Share (password)
3. Click on CANCEL button",N/A,"1. Option shows: Download, Move, Copy, Share (public), Share (password) and Delete
2. ""Share (password)"" form appears
3. ""Share (password)"" form closes",Medium
CFTP_MULTISELECT_TC_010,Multi-Select Actions,Verify Delete for multiple selected files,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded/create the folder by HTTPS in browser,"1. Select multiple files, right click on them
2. Select Delete
3. Click on DELETE button",N/A,"1. Option shows: Download, Move, Copy, Share (public), Share (password) and Delete
2. ""Delete"" form appears with message: ""Are you sure to delete these 2 elements + Details ?""
3. ""Delete"" form closes and selected files are removed",Critical
CFTP_MULTISELECT_TC_011,Multi-Select Actions,Verify canceling Delete for multiple selected files,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Uploaded/create the folder by HTTPS in browser,"1. Select multiple files, right click on them
2. Select Delete
3. Click on CANCEL button",N/A,"1. Option shows: Download, Move, Copy, Share (public), Share (password) and Delete
2. ""Delete"" form appears with message: ""Are you sure to delete these 2 elements + Details ?""
3. ""Delete"" form closes",Medium
CFTP_ACCOUNT_TC_001,Account Management,Verify that it is able to Change password from Account management,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Enable permit password changes on Users panel (genaral users setting),"1. Go to top of right of the page, click on account icon, click on Manage Account
2. Click on Change Password
3. Input Current pasword, New password, New password again, click CHANGE PASWORD button",Current password: OldPass@2026; New password: NewPass@2027; Confirm new password: NewPass@2027,"2. Change Password form appears
3. Password is changed successfully",Critical
CFTP_ACCOUNT_TC_002,Account Management,Verify that it is able to cancel Changing password from Account management,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Enable permit password changes on Users panel (genaral users setting),"1. Go to top of right of the page, click on account icon, click on Manage Account
2. Click on Change Password
3. Input Current pasword, New password, New password again, click BACK TO MENU button",Current password: OldPass@2026; New password: NewPass@2027; Confirm new password: NewPass@2027,"2. Change Password form appears
3. Changing pasword is cancelled",Medium
CFTP_ACCOUNT_TC_003,Account Management,Verify that it shows error when changing password with the one that violates the password policy.,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Enable permit password changes on Users panel (genaral users setting),"1. Go to top of right of the page, click on account icon, click on Manage Account
2. Click on Change Password
3. Input Current pasword, Wrong New password, Wrong New password again, click BACK TO MENU button",Current password: OldPass@2026; New password: 123; Confirm new password: 123 (violates password policy),3. Show an error that the password violates the password policy,Critical
CFTP_ACCOUNT_TC_004,Account Management,Verify that it is able to back to main page from Account management,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Enable permit password changes on Users panel (genaral users setting),"1. Go to top of right of the page, click on account icon, click on Manage Account
2. Click on Change Password
3. Click on BACK TO MENU button",N/A,"2. Change Password form appears
3. Back to main page from Account management",High
CFTP_SEARCH_TC_001,Search Feature,Verify if the search result is correctly,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Log in FileManager successfully and there are some created folders available,"1. Click on Search icon on navigaiton bar
2. Enter the Key search",Search keyword: Report_2026,2. The result is showed correctly,High
CFTP_SEARCH_TC_002,Search Feature,Verify if the search subfolders result is correctly,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Log in FileManager successfully and there are some created folders available,"1. Click on Search icon on navigaiton bar
2. Enter the Key search then check on Sub folders",Search keyword: Report_2026,2. The result is showed correctly,High
CFTP_SEARCH_TC_003,Search Feature,Verify if the Total number of search records/results should be displayed on page,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Log in FileManager successfully and there are some created folders available,"1. Click on Search icon on navigaiton bar
2. Enter the Key search then check on Sub folders",Search keyword: Report_2026,2. The result is showed correctly,High
CFTP_SEARCH_TC_004,Search Feature,"Verify that when user clicks on any link from result and navigates back, then result should be maintained",CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Log in FileManager successfully and there are some created folders available,"1. Click on Search icon on navigaiton bar
2. Enter the Key search then check on Sub folders
3. Select a record to open it
4. Click on Back arrow of browser to back to the result",Search keyword: Report_2026,"2. The result is showed correctly
3. The selected folder is opened
4. The result should be maintained",High
CFTP_SEARCH_TC_005,Search Feature,Verify that all search box should get cleared on clicking the search icon again,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Log in FileManager successfully and there are some created folders available,"1. Click on Search icon on navigaiton bar
2. Enter the Key search then check on Sub folders
3. Close the search box
4. Click on the search icon again",Search keyword: Report_2026,"2. The result is showed correctly
3. The search box is closed
4. The search keyword should get cleared",Low
CFTP_SEARCH_TC_006,Search Feature,Verify that user able to delete the search result or not,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Log in FileManager successfully and there are some created folders available,"1. Click on Search icon on navigaiton bar
2. Enter the Key search then check on Sub folders
3. Select a record then delete it",Search keyword: Report_2026,"2. The result is showed correctly
3. Able to delete",Critical
CFTP_SEARCH_TC_007,Search Feature,Verify that user able to edit the search result or not,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Log in FileManager successfully and there are some created folders available,"1. Click on Search icon on navigaiton bar
2. Enter the Key search then check on Sub folders
3. Select a record then edit it",Search keyword: Report_2026,"2. The result is showed correctly
3. Able to edit",High
CFTP_SEARCH_TC_008,Search Feature,Verify that user able to view the search result or not,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Log in FileManager successfully and there are some created folders available,"1. Click on Search icon on navigaiton bar
2. Enter the Key search then check on Sub folders
3. Select a record then view it",Search keyword: Report_2026,"2. The result is showed correctly
3. Able to view",High
CFTP_SEARCH_TC_009,Search Feature,Verify the search functionality when user copy and paste parameter and click on search,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Log in FileManager successfully and there are some created folders available,"1. Click on Search icon on navigaiton bar
2. Copy paste parameter to the search box",Search keyword: Report_2026,2. The result is showed correctly,High
CFTP_SEARCH_TC_010,Search Feature,Verify the search functionality by entering the invalid keyword in search box,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Log in FileManager successfully and there are some created folders available,"1. Click on Search icon on navigaiton bar
2. Entering the invalid keyword in search box",Search keyword: zzz_no_such_file_999,2. No result is retuned,High
CFTP_DOWNLOAD_TOOLBAR_TC_001,Download - Toolbar,Verify that it is able to download a file by click on Download button on the Toolbar at the top right of the page,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login FileManager successfully,"1. Upload some files/folders
2. Select a file, click on download button on the toolbar",N/A,2. The selected file is downloaded,High
CFTP_DOWNLOAD_TOOLBAR_TC_002,Download - Toolbar,Verify that it is able to download multiple files by click on Download button on the Toolbar at the top right of the page,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login FileManager successfully,"1. Upload some files/folders
2. Select multiple files, click on download button on the toolbar",N/A,2. The selected files are downloaded,High
CFTP_DOWNLOAD_TOOLBAR_TC_003,Download - Toolbar,Verify that it is able to download a folder by click on Download button on the Toolbar at the top right of the page,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login FileManager successfully,"1. Upload some files/folders
2. Double click on the folder to select it, click on download button on the toolbar",N/A,2. The selected folder is downloaded as a zip folder,High
CFTP_DOWNLOAD_TOOLBAR_TC_004,Download - Toolbar,Verify that it is able to download the shared file without password,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login FileManager successfully,"1. Upload some files/folders
2. Share these files without password
3. Select the Shared without password file, click on Download button on the ToolBar",N/A,3. The shared file is downloaded successfully,Critical
CFTP_DOWNLOAD_TOOLBAR_TC_005,Download - Toolbar,Verify that it is able to download multiple shared files without password,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login FileManager successfully,"1. Upload some files/folders
2. Share these files without password
3. Select multiple Shared without password files, click on Download button on the ToolBar",N/A,3. The shared files are downloaded successfully,Critical
CFTP_DOWNLOAD_TOOLBAR_TC_006,Download - Toolbar,Verify that it is able to download the shared file with password,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login FileManager successfully,"1. Upload some files/folders
2. Share these files with password (1111)
3. Select the Shared with password file, click on Download button on the ToolBar",N/A,3. The shared file is downloaded successfully with inputting password,Critical
CFTP_DOWNLOAD_TOOLBAR_TC_007,Download - Toolbar,Verify that it is able to download multiple shared files with password,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login FileManager successfully,"1. Upload some files/folders
2. Share these files with password
3. Select multiple Shared with password files, click on Download button on the ToolBar",N/A,3. The shared files are downloaded successfully with inputting password,Critical
CFTP_DOWNLOAD_TOOLBAR_TC_008,Download - Toolbar,Verify whether the Download button is clickable or not.,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login FileManager successfully,1. Click on the Download button on the toolbar to see if it is clickable,N/A,1. The button is clickable,Low
CFTP_DOWNLOAD_TOOLBAR_TC_009,Download - Toolbar,Verify if it shows the message when clicking on the download button without selecting any file,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login FileManager successfully,1. Click on the download button without selecting any file,N/A,1. It shows the message: Please select at least one file or folder,High
CFTP_DOWNLOAD_TOOLBAR_TC_010,Download - Toolbar,Verify if the downloaded file size is equal to the original file size.,"CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login FileManager successfully
A file is downloaded successfully",1. Check the size of the downloaded file and original file,N/A,1. They should be the same,High
CFTP_DOWNLOAD_TOOLBAR_TC_011,Download - Toolbar,Verify if the downloaded file name is the same as the one shown before the download.,"CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login FileManager successfully
A file is downloaded successfully",1. Check the name of the downloaded file and original file,N/A,1. They should be the same,High
CFTP_DOWNLOAD_TOOLBAR_TC_012,Download - Toolbar,Verify if after downloading the file if the original file stays as it is.,"CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login FileManager successfully
A file is downloaded successfully",1. Check after downloading the file if the original file stays as it is,N/A,1. The original file stays as it is,High
CFTP_DOWNLOAD_TOOLBAR_TC_013,Download - Toolbar,Verify if the user was able to open the downloaded file or not.,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login FileManager successfully,"1. Download the file
2. Click on downloaded file to open it",N/A,"1. File is downloaded successfully
2. It is able to be openned",High
CFTP_DOWNLOAD_TOOLBAR_TC_014,Download - Toolbar,Verify the Functionality of Multiple file downloads simultaneously.,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login FileManager successfully,"1. Select multiple files, click on download button on the toolbar",N/A,1. All selected files are downloaded,High
CFTP_DOWNLOAD_OPTIONLIST_TC_001,Download - Options List,Verify that it is able to download a file by click on Download button on the options list,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login FileManager successfully,"1. Upload some files/folders
2. Select a file, click on download button on the options list",N/A,2. The selected file is downloaded,High
CFTP_DOWNLOAD_OPTIONLIST_TC_002,Download - Options List,Verify that it is able to download multiple files by click on Download button on the options list,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login FileManager successfully,"1. Upload some files/folders
2. Select multiple files, click on download button on the options list",N/A,2. The selected files are downloaded,High
CFTP_DOWNLOAD_OPTIONLIST_TC_003,Download - Options List,Verify that it is able to download a folder by click on Download button on the options list,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login FileManager successfully,"1. Upload some files/folders
2. Double click on the folder to select it, click on download button on the options list",N/A,2. The selected folder is downloaded as a zip folder,High
CFTP_DOWNLOAD_OPTIONLIST_TC_004,Download - Options List,Verify that it is able to download the shared file without password by clicking on the Download on the option list,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login FileManager successfully,"1. Upload some files/folders
2. Share these files without password
3. Select the Shared without password file, click on Download button on the options list",N/A,3. The shared file is downloaded successfully,Critical
CFTP_DOWNLOAD_OPTIONLIST_TC_005,Download - Options List,Verify that it is able to download multiple shared files without password by clicking on the Download on the option list,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login FileManager successfully,"1. Upload some files/folders
2. Share these files without password
3. Select multiple Shared without password files, click on Download button on the option list",N/A,3. The shared files are downloaded successfully,Critical
CFTP_DOWNLOAD_OPTIONLIST_TC_006,Download - Options List,Verify that it is able to download the shared file with password by clicking on the Download on the option list,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login FileManager successfully,"1. Upload some files/folders
2. Share these files with password (1111)
3. Select the Shared with password file, click on Download button on the ToolBar",N/A,3. The shared file is downloaded successfully with inputting password,Critical
CFTP_DOWNLOAD_OPTIONLIST_TC_007,Download - Options List,Verify that it is able to download multiple shared files with password by clicking on the Download on the option list,CompleteFTP has been installed and is running (default settings); FileManager has been opened at https://localhost; Successfully logged in with account u1/111111Aa; Login FileManager successfully,"1. Upload some files/folders
2. Share these files with password
3. Select multiple Shared with password files, click on Download button on the ToolBar",N/A,3. The shared files are downloaded successfully with inputting password,Critical
